,Date_time,Actual,Forecast_M_1,Forecast_M_2,Forecast_M_3,Forecast_M_4
12,2023-06-01 00:00:00,3688,3051.7937,2983.2395,3034.1995,2908.3208
13,2023-06-01 01:00:00,3500,2912.5886,2840.949,2894.089,2760.4204
14,2023-06-01 02:00:00,3320,2786.5305,2724.9146,2768.5312,2630.6433
15,2023-06-01 03:00:00,3166,2677.7043,2630.7275,2662.415,2521.2007
16,2023-06-01 04:00:00,3029,2593.1277,2556.0051,2581.983,2444.5647
17,2023-06-01 05:00:00,2929,2548.5315,2509.3435,2531.7534,2398.5662
18,2023-06-01 06:00:00,2800,2511.2444,2483.4211,2469.585,2331.9443
19,2023-06-01 07:00:00,2756,2476.5142,2460.3193,2442.635,2355.7825
20,2023-06-01 08:00:00,2870,2556.7397,2529.2358,2568.059,2486.1504
21,2023-06-01 09:00:00,3066,2689.0598,2650.4912,2704.9941,2612.974
22,2023-06-01 10:00:00,3208,2802.9385,2749.5566,2813.322,2713.6357
23,2023-06-01 11:00:00,3327,2896.0554,2827.3564,2901.5103,2793.8108
24,2023-06-01 12:00:00,3458,2983.2556,2894.6958,2979.9883,2876.038
25,2023-06-01 13:00:00,3572,3084.466,2967.9878,3070.9094,2985.7532
26,2023-06-01 14:00:00,3767,3211.4575,3063.3992,3187.1204,3115.1377
27,2023-06-01 15:00:00,3928,3335.1926,3167.4814,3296.3262,3212.823
28,2023-06-01 16:00:00,4007,3405.2268,3230.0579,3346.7632,3218.0415
29,2023-06-01 17:00:00,3981,3401.6924,3211.7114,3322.6738,3129.5264
30,2023-06-01 18:00:00,3843,3320.4949,3111.585,3223.9485,2987.3281
31,2023-06-01 19:00:00,3631,3188.2622,3034.5752,3097.7432,2999.2432
32,2023-06-01 20:00:00,3635,3218.7598,3122.1343,3178.0857,3104.687
33,2023-06-01 21:00:00,3749,3309.796,3174.222,3285.0442,3149.2537
34,2023-06-01 22:00:00,3811,3321.322,3170.7012,3302.1897,3114.7468
35,2023-06-01 23:00:00,3794,3264.3723,3077.9688,3216.4739,3011.8804
